Year,WAR,AB,H,HR,BA,R,RBI,SB,OBP,SLG,OPS,OPS+
2024,10.8,559,180,58,0.322,122,144,10,0.458,0.701,1.159,223
Career,52.6,3564,1026,315,0.288,736,716,53,0.406,0.604,1.010,173
