Date,Team,Opp,Result,G,A,PTS,+ / -,PIM,EV,PPG,SHG,GWG,EV Assist,PP Assist,SH Assist,SOG,SPCT,SHFT,TOI,HIT,BLK,FOW,FOL,FO%
2025-02-25,EDM,@  TBL,L 1-4,0,1,1,-1,0,0,0,0,0,0,1,0,2,0.0,22,20:30,2,1,9,7,56.3
2025-02-23,EDM,@ WSH,L 3-7,0,1,1,-3,0,0,0,0,0,0,1,0,1,,21,20:17,0,1,4,6,40.0
2025-02-22,EDM,@ PHI,L 3-6,0,0,0,-3,0,0,0,0,0,0,0,0,0,0.0,20,19:59,1,0,7,6,46.2
2025-02-07,EDM,@ COL,L 4-5,0,0,0,-3,0,0,0,0,0,0,0,0,5,0.0,23,24:04,0,1,6,4,60.0
2025-02-05,EDM,@ CHI,W 4-3 (OT),0,1,1,-2,0,0,0,0,0,0,1,0,2,0.0,20,21:46,0,1,6,7,46.2
